run,ck,eps,ick,ieps,holdout,dm_truth_K,dm_gen_K
ck0.0125_eps0.0875,0.0125,0.0875,0,0,0,7.34650,7.37341
ck0.0125_eps0.1389,0.0125,0.1389,0,1,0,7.31778,7.36951
ck0.0125_eps0.2205,0.0125,0.2205,0,2,0,7.31297,7.36500
ck0.0125_eps0.35,0.0125,0.35,0,3,0,7.31052,7.38921
ck0.0125_eps0.5556,0.0125,0.5556,0,4,0,7.30858,7.34408
ck0.0125_eps0.8819,0.0125,0.8819,0,5,0,7.31253,7.35526
ck0.0125_eps1.4,0.0125,1.4,0,6,0,7.31281,7.35461
ck0.0125_eps2.222,0.0125,2.222,0,7,0,7.31298,7.35659
ck0.0125_eps3.528,0.0125,3.528,0,8,0,7.31563,7.36148
ck0.0125_eps5.6,0.0125,5.6,0,9,0,7.32279,7.34923
ck0.01984_eps0.0875,0.01984,0.0875,1,0,0,7.37048,7.39217
ck0.01984_eps0.1389,0.01984,0.1389,1,1,0,7.34221,7.37010
ck0.01984_eps0.2205,0.01984,0.2205,1,2,0,7.32613,7.35894
ck0.01984_eps0.35,0.01984,0.35,1,3,0,7.31113,7.36069
ck0.01984_eps0.5556,0.01984,0.5556,1,4,0,7.30789,7.35229
ck0.01984_eps0.8819,0.01984,0.8819,1,5,0,7.30503,7.37283
ck0.01984_eps1.4,0.01984,1.4,1,6,0,7.30505,7.36327
ck0.01984_eps2.222,0.01984,2.222,1,7,0,7.30323,7.34997
ck0.01984_eps3.528,0.01984,3.528,1,8,0,7.30243,7.34524
ck0.01984_eps5.6,0.01984,5.6,1,9,0,7.30263,7.36108
ck0.0315_eps0.0875,0.0315,0.0875,2,0,0,7.39651,7.42227
ck0.0315_eps0.1389,0.0315,0.1389,2,1,0,7.36951,7.40106
ck0.0315_eps0.2205,0.0315,0.2205,2,2,0,7.34442,7.38922
ck0.0315_eps0.35,0.0315,0.35,2,3,0,7.32491,7.36632
ck0.0315_eps0.5556,0.0315,0.5556,2,4,0,7.31015,7.35374
ck0.0315_eps0.8819,0.0315,0.8819,2,5,0,7.30754,7.36238
ck0.0315_eps1.4,0.0315,1.4,2,6,0,7.30257,7.33315
ck0.0315_eps2.222,0.0315,2.222,2,7,0,7.30095,7.36297
ck0.0315_eps3.528,0.0315,3.528,2,8,0,7.29872,7.34815
ck0.0315_eps5.6,0.0315,5.6,2,9,0,7.29447,7.35925
ck0.05_eps0.0875,0.05,0.0875,3,0,0,7.43938,7.45531
ck0.05_eps0.1389,0.05,0.1389,3,1,0,7.38639,7.44180
ck0.05_eps0.2205,0.05,0.2205,3,2,0,7.36181,7.41232
ck0.05_eps0.35,0.05,0.35,3,3,0,7.34180,7.39387
ck0.05_eps0.5556,0.05,0.5556,3,4,0,7.32377,7.38078
ck0.05_eps0.8819,0.05,0.8819,3,5,0,7.31810,7.34499
ck0.05_eps1.4,0.05,1.4,3,6,0,7.30696,7.34390
ck0.05_eps2.222,0.05,2.222,3,7,0,7.30177,7.35076
ck0.05_eps3.528,0.05,3.528,3,8,0,7.29804,7.34619
ck0.05_eps5.6,0.05,5.6,3,9,0,7.29715,7.33659
ck0.07937_eps0.0875,0.07937,0.0875,4,0,0,7.51347,7.52038
ck0.07937_eps0.1389,0.07937,0.1389,4,1,0,7.44072,7.44458
ck0.07937_eps0.2205,0.07937,0.2205,4,2,0,7.39172,7.43363
ck0.07937_eps0.35,0.07937,0.35,4,3,0,7.35272,7.40154
ck0.07937_eps0.5556,0.07937,0.5556,4,4,0,7.33436,7.39017
ck0.07937_eps0.8819,0.07937,0.8819,4,5,0,7.31532,7.35027
ck0.07937_eps1.4,0.07937,1.4,4,6,0,7.31787,7.35263
ck0.07937_eps2.222,0.07937,2.222,4,7,0,7.30733,7.33164
ck0.07937_eps3.528,0.07937,3.528,4,8,0,7.30148,7.35027
ck0.07937_eps5.6,0.07937,5.6,4,9,0,7.29378,7.35455
ck0.126_eps0.0875,0.126,0.0875,5,0,1,7.59425,7.62594
ck0.126_eps0.1389,0.126,0.1389,5,1,1,7.48161,7.52116
ck0.126_eps0.2205,0.126,0.2205,5,2,1,7.43765,7.46018
ck0.126_eps0.35,0.126,0.35,5,3,1,7.38533,7.43983
ck0.126_eps0.5556,0.126,0.5556,5,4,1,7.34628,7.39403
ck0.126_eps0.8819,0.126,0.8819,5,5,1,7.33035,7.37504
ck0.126_eps1.4,0.126,1.4,5,6,1,7.31671,7.37280
ck0.126_eps2.222,0.126,2.222,5,7,1,7.31011,7.35118
ck0.126_eps3.528,0.126,3.528,5,8,1,7.30841,7.33076
ck0.126_eps5.6,0.126,5.6,5,9,1,7.30116,7.32206
ck0.2_eps0.0875,0.2,0.0875,6,0,1,7.72533,7.70146
ck0.2_eps0.1389,0.2,0.1389,6,1,1,7.58369,7.60193
ck0.2_eps0.2205,0.2,0.2205,6,2,1,7.47968,7.52930
ck0.2_eps0.35,0.2,0.35,6,3,1,7.43512,7.47040
ck0.2_eps0.5556,0.2,0.5556,6,4,1,7.37841,7.42259
ck0.2_eps0.8819,0.2,0.8819,6,5,1,7.33104,7.41322
ck0.2_eps1.4,0.2,1.4,6,6,1,7.32549,7.36614
ck0.2_eps2.222,0.2,2.222,6,7,1,7.31673,7.34384
ck0.2_eps3.528,0.2,3.528,6,8,1,7.31207,7.33419
ck0.2_eps5.6,0.2,5.6,6,9,1,7.30806,7.33087
ck0.3175_eps0.0875,0.3175,0.0875,7,0,1,7.89677,7.85375
ck0.3175_eps0.1389,0.3175,0.1389,7,1,1,7.72909,7.73300
ck0.3175_eps0.2205,0.3175,0.2205,7,2,1,7.58398,7.60674
ck0.3175_eps0.35,0.3175,0.35,7,3,1,7.47722,7.51866
ck0.3175_eps0.5556,0.3175,0.5556,7,4,1,7.43412,7.46689
ck0.3175_eps0.8819,0.3175,0.8819,7,5,1,7.37569,7.41167
ck0.3175_eps1.4,0.3175,1.4,7,6,1,7.31886,7.37948
ck0.3175_eps2.222,0.3175,2.222,7,7,1,7.29542,7.35006
ck0.3175_eps3.528,0.3175,3.528,7,8,1,7.30599,7.31971
ck0.3175_eps5.6,0.3175,5.6,7,9,1,7.29488,7.33297
ck0.504_eps0.0875,0.504,0.0875,8,0,0,8.10971,8.01581
ck0.504_eps0.1389,0.504,0.1389,8,1,0,7.89258,7.84847
ck0.504_eps0.2205,0.504,0.2205,8,2,0,7.72017,7.70406
ck0.504_eps0.35,0.504,0.35,8,3,0,7.58921,7.58391
ck0.504_eps0.5556,0.504,0.5556,8,4,0,7.47389,7.51061
ck0.504_eps0.8819,0.504,0.8819,8,5,0,7.42866,7.45974
ck0.504_eps1.4,0.504,1.4,8,6,0,7.37398,7.40019
ck0.504_eps2.222,0.504,2.222,8,7,0,7.32807,7.37567
ck0.504_eps3.528,0.504,3.528,8,8,0,7.28122,7.32549
ck0.504_eps5.6,0.504,5.6,8,9,0,7.23506,7.30276
ck0.8_eps0.0875,0.8,0.0875,9,0,0,8.33850,8.20411
ck0.8_eps0.1389,0.8,0.1389,9,1,0,8.09254,7.98890
ck0.8_eps0.2205,0.8,0.2205,9,2,0,7.88064,7.84511
ck0.8_eps0.35,0.8,0.35,9,3,0,7.71380,7.68859
ck0.8_eps0.5556,0.8,0.5556,9,4,0,7.58545,7.58246
ck0.8_eps0.8819,0.8,0.8819,9,5,0,7.45715,7.48727
ck0.8_eps1.4,0.8,1.4,9,6,0,7.42425,7.46204
ck0.8_eps2.222,0.8,2.222,9,7,0,7.36177,7.39757
ck0.8_eps3.528,0.8,3.528,9,8,0,7.28870,7.32230
ck0.8_eps5.6,0.8,5.6,9,9,0,7.24280,7.28414
